rank,family,variant,rebalance,requested_range,actual_range,net_perf_pct,cagr_pct,max_drawdown_pct,sharpe,positions,win_rate_pct,avg_trade_pct,median_trade_days,soxl_return_pct,soxl_max_drawdown_pct,tqqq_return_pct,tqqq_max_drawdown_pct,soxl_only_net_pct,soxl_only_max_drawdown_pct,excess_vs_soxl_only_pct,beats_soxl_only,notes
7510,Relative momentum rotation,"126d return, 5% hysteresis",monthly,2010-03-11 to 2026-05-20,2010-09-10 to 2026-05-20,70069.79,51.84,-85.74,0.93,30,70.0,45.72,183.0,48324.75,-90.46,33054.58,-81.66,41069.8,-66.18,28999.99,True,Always invested in SOXL or TQQQ; signal uses prior-close data; no costs/slippage.
7511,Relative momentum rotation,"126d return, chosen/alternate above SMA200, 5% hysteresis",monthly,2010-03-11 to 2026-05-20,2010-09-10 to 2026-05-20,70069.79,51.84,-85.74,0.93,30,70.0,45.72,183.0,48324.75,-90.46,33054.58,-81.66,41069.8,-66.18,28999.99,True,Always invested in SOXL or TQQQ; signal uses prior-close data; no costs/slippage.
7512,Relative momentum rotation,"126d return_over_vol, skip 21d, chosen/alternate above SMA50, 2% hysteresis",daily,2010-03-11 to 2026-05-20,2010-10-11 to 2026-05-20,70065.22,52.19,-84.67,0.94,250,56.0,4.08,6.0,35677.33,-90.46,27026.23,-81.66,41069.8,-66.18,28995.42,True,Always invested in SOXL or TQQQ; signal uses prior-close data; no costs/slippage.
7513,Relative momentum rotation,"63d return, skip 21d, switch on 10% stop",daily,2010-03-11 to 2026-05-20,2010-07-13 to 2026-05-20,70050.7,51.19,-88.89,0.93,346,50.0,4.76,4.0,30967.21,-90.46,35142.37,-81.66,41069.8,-66.18,28980.9,True,Always invested in SOXL or TQQQ; signal uses prior-close data; no costs/slippage.
7514,Relative momentum rotation,"168d return_minus_vol, skip 21d, 5% hysteresis, switch on 10% stop",daily,2010-03-11 to 2026-05-20,2010-12-09 to 2026-05-20,58426.66,51.07,-79.3,0.94,182,48.9,7.69,5.5,21980.67,-90.46,21265.73,-81.66,29455.96,-66.18,28970.7,True,Always invested in SOXL or TQQQ; signal uses prior-close data; no costs/slippage.
7515,Relative momentum rotation,"105d return_minus_half_vol, chosen/alternate above SMA100, 2% hysteresis, switch on 30% stop",weekly,2010-03-11 to 2026-05-20,2010-08-11 to 2026-05-20,70035.28,51.51,-83.76,0.94,88,64.77,14.61,18.0,41866.94,-90.46,35227.18,-81.66,41069.8,-66.18,28965.48,True,Always invested in SOXL or TQQQ; signal uses prior-close data; no costs/slippage.
7516,Relative momentum rotation,"189d return_minus_vol, skip 21d, chosen/alternate above SMA100",monthly,2010-03-11 to 2026-05-20,2011-01-10 to 2026-05-20,55803.41,50.98,-82.38,0.94,42,71.43,27.08,62.0,20027.1,-90.46,19053.49,-81.66,26841.02,-66.18,28962.39,True,Always invested in SOXL or TQQQ; signal uses prior-close data; no costs/slippage.
7517,Relative momentum rotation,"84d return, skip 10d, 5% hysteresis, switch on 10% stop",daily,2010-03-11 to 2026-05-20,2010-07-27 to 2026-05-20,70026.51,51.34,-91.07,0.93,185,44.32,8.59,6.0,30591.6,-90.46,32902.12,-81.66,41069.8,-66.18,28956.71,True,Always invested in SOXL or TQQQ; signal uses prior-close data; no costs/slippage.
7518,Relative momentum rotation,"42d return_minus_half_vol, chosen/alternate above SMA200, 5% hysteresis, switch on 30% stop",monthly,2010-03-11 to 2026-05-20,2010-05-12 to 2026-05-20,77413.83,51.47,-82.95,0.95,82,58.54,14.87,32.5,26300.29,-90.46,27559.06,-81.66,48461.05,-66.18,28952.77,True,Always invested in SOXL or TQQQ; signal uses prior-close data; no costs/slippage.
7519,Relative momentum rotation,"105d return_over_vol, skip 21d, chosen/alternate above SMA100",daily,2010-03-11 to 2026-05-20,2010-09-10 to 2026-05-20,70004.98,51.83,-90.14,0.94,200,58.0,5.56,4.0,48324.75,-90.46,33054.58,-81.66,41069.8,-66.18,28935.18,True,Always invested in SOXL or TQQQ; signal uses prior-close data; no costs/slippage.
7520,Relative momentum rotation,"63d return_minus_vol, 5% hysteresis, switch on 10% stop",daily,2010-03-11 to 2026-05-20,2010-06-11 to 2026-05-20,70786.96,50.95,-79.26,0.96,160,51.25,6.98,9.0,33908.38,-90.46,34470.73,-81.66,41854.25,-66.18,28932.71,True,Always invested in SOXL or TQQQ; signal uses prior-close data; no costs/slippage.
7521,Relative momentum rotation,"42d return_over_vol, skip 10d, 2% hysteresis, switch on 20% stop",daily,2010-03-11 to 2026-05-20,2010-05-26 to 2026-05-20,77392.02,51.62,-88.31,0.93,219,58.9,5.86,8.0,34537.35,-90.46,36910.51,-81.66,48461.05,-66.18,28930.97,True,Always invested in SOXL or TQQQ; signal uses prior-close data; no costs/slippage.
7522,Relative momentum rotation,"84d return_minus_half_vol, skip 10d, switch on 20% stop",monthly,2010-03-11 to 2026-05-20,2010-07-27 to 2026-05-20,69994.15,51.34,-84.82,0.94,80,53.75,16.97,33.5,30591.6,-90.46,32902.12,-81.66,41069.8,-66.18,28924.35,True,Always invested in SOXL or TQQQ; signal uses prior-close data; no costs/slippage.
7523,Relative momentum rotation,"84d return_over_vol, skip 21d, chosen/alternate above SMA100, 5% hysteresis, switch on 30% stop",weekly,2010-03-11 to 2026-05-20,2010-08-11 to 2026-05-20,69989.58,51.5,-90.46,0.94,95,63.16,13.65,14.0,41866.94,-90.46,35227.18,-81.66,41069.8,-66.18,28919.78,True,Always invested in SOXL or TQQQ; signal uses prior-close data; no costs/slippage.
7524,Relative momentum rotation,"126d return, skip 10d, 2% hysteresis, switch on 10% stop",weekly,2010-03-11 to 2026-05-20,2010-09-24 to 2026-05-20,69984.77,51.99,-86.59,0.94,164,53.66,9.53,7.0,37590.17,-90.46,27259.68,-81.66,41069.8,-66.18,28914.97,True,Always invested in SOXL or TQQQ; signal uses prior-close data; no costs/slippage.
7525,Relative momentum rotation,"5d return, skip 5d, chosen/alternate above SMA100, 2% hysteresis, switch on 20% stop",monthly,2010-03-11 to 2026-05-20,2010-03-26 to 2026-05-20,77372.4,50.97,-86.67,0.93,175,62.86,7.59,28.0,27606.54,-90.46,27913.35,-81.66,48461.05,-66.18,28911.35,True,Always invested in SOXL or TQQQ; signal uses prior-close data; no costs/slippage.
7526,Relative momentum rotation,"105d return_over_vol, skip 10d, chosen/alternate above SMA100, 2% hysteresis, switch on 30% stop",daily,2010-03-11 to 2026-05-20,2010-08-25 to 2026-05-20,69973.01,51.65,-92.19,0.94,150,56.67,10.27,6.0,45777.15,-90.46,38757.22,-81.66,41069.8,-66.18,28903.21,True,Always invested in SOXL or TQQQ; signal uses prior-close data; no costs/slippage.
7527,Relative momentum rotation,"252d return_minus_half_vol, skip 5d, chosen/alternate above SMA100, switch on 10% stop",weekly,2010-03-11 to 2026-05-20,2011-03-18 to 2026-05-20,58967.33,52.28,-78.66,0.95,182,56.59,6.21,7.0,22438.23,-90.46,21093.92,-81.66,30068.42,-66.18,28898.91,True,Always invested in SOXL or TQQQ; signal uses prior-close data; no costs/slippage.
7528,Relative momentum rotation,"21d return_minus_vol, skip 21d, chosen/alternate above SMA50, switch on 30% stop",monthly,2010-03-11 to 2026-05-20,2010-05-12 to 2026-05-20,77348.94,51.47,-82.11,0.97,59,57.63,22.5,32.0,26300.29,-90.46,27559.06,-81.66,48461.05,-66.18,28887.88,True,Always invested in SOXL or TQQQ; signal uses prior-close data; no costs/slippage.
7529,Relative momentum rotation,"63d return, skip 21d, chosen/alternate above SMA200, 5% hysteresis, switch on 20% stop",daily,2010-03-11 to 2026-05-20,2010-07-13 to 2026-05-20,69951.61,51.18,-85.75,0.93,134,51.49,11.74,11.0,30967.21,-90.46,35142.37,-81.66,41069.8,-66.18,28881.82,True,Always invested in SOXL or TQQQ; signal uses prior-close data; no costs/slippage.
7530,Relative momentum rotation,"168d return_minus_vol, skip 21d, chosen/alternate above SMA50, 5% hysteresis, switch on 10% stop",daily,2010-03-11 to 2026-05-20,2010-12-09 to 2026-05-20,58326.5,51.06,-79.3,0.94,346,51.73,3.55,4.0,21980.67,-90.46,21265.73,-81.66,29455.96,-66.18,28870.55,True,Always invested in SOXL or TQQQ; signal uses prior-close data; no costs/slippage.
7531,Relative momentum rotation,"126d return_over_vol, skip 21d, chosen/alternate above SMA50, 2% hysteresis, switch on 20% stop",daily,2010-03-11 to 2026-05-20,2010-10-11 to 2026-05-20,69936.96,52.17,-84.48,0.94,296,54.73,4.25,5.0,35677.33,-90.46,27026.23,-81.66,41069.8,-66.18,28867.16,True,Always invested in SOXL or TQQQ; signal uses prior-close data; no costs/slippage.
7532,Relative momentum rotation,"5d return_minus_vol, chosen/alternate above SMA200, 2% hysteresis, switch on 20% stop",monthly,2010-03-11 to 2026-05-20,2010-03-25 to 2026-05-20,77327.01,50.95,-81.45,0.97,53,60.38,24.72,32.0,27170.01,-90.46,28059.23,-81.66,48461.05,-66.18,28865.95,True,Always invested in SOXL or TQQQ; signal uses prior-close data; no costs/slippage.
7533,Relative momentum rotation,"105d return_minus_half_vol, skip 21d, switch on 20% stop",weekly,2010-03-11 to 2026-05-20,2010-09-10 to 2026-05-20,69928.69,51.82,-83.77,0.94,118,57.63,12.05,14.0,48324.75,-90.46,33054.58,-81.66,41069.8,-66.18,28858.89,True,Always invested in SOXL or TQQQ; signal uses prior-close data; no costs/slippage.
7534,Relative momentum rotation,"105d return_minus_half_vol, skip 5d, 2% hysteresis",monthly,2010-03-11 to 2026-05-20,2010-08-18 to 2026-05-20,69918.87,51.57,-83.73,0.94,30,66.67,37.48,154.0,41485.07,-90.46,35114.25,-81.66,41069.8,-66.18,28849.07,True,Always invested in SOXL or TQQQ; signal uses prior-close data; no costs/slippage.
7535,Relative momentum rotation,"5d return_minus_vol, chosen/alternate above SMA50, switch on 10% stop",weekly,2010-03-11 to 2026-05-20,2010-03-25 to 2026-05-20,77309.68,50.95,-78.22,0.97,189,50.79,6.42,7.0,27170.01,-90.46,28059.23,-81.66,48461.05,-66.18,28848.63,True,Always invested in SOXL or TQQQ; signal uses prior-close data; no costs/slippage.
7536,Relative momentum rotation,"105d return, skip 21d, chosen/alternate above SMA100, switch on 20% stop",daily,2010-03-11 to 2026-05-20,2010-09-10 to 2026-05-20,69904.68,51.82,-88.1,0.94,292,53.42,5.03,4.0,48324.75,-90.46,33054.58,-81.66,41069.8,-66.18,28834.88,True,Always invested in SOXL or TQQQ; signal uses prior-close data; no costs/slippage.
7537,Relative momentum rotation,"105d return, skip 21d, chosen/alternate above SMA200, 5% hysteresis, switch on 30% stop",daily,2010-03-11 to 2026-05-20,2010-09-10 to 2026-05-20,69895.5,51.82,-86.61,0.94,102,56.86,15.14,15.0,48324.75,-90.46,33054.58,-81.66,41069.8,-66.18,28825.7,True,Always invested in SOXL or TQQQ; signal uses prior-close data; no costs/slippage.
7538,Relative momentum rotation,"10d return_over_vol, chosen/alternate above SMA100, 5% hysteresis",weekly,2010-03-11 to 2026-05-20,2010-03-26 to 2026-05-20,77270.56,50.96,-83.62,0.93,221,59.28,4.42,21.0,27606.54,-90.46,27913.35,-81.66,48461.05,-66.18,28809.5,True,Always invested in SOXL or TQQQ; signal uses prior-close data; no costs/slippage.
7539,Relative momentum rotation,"84d return, skip 5d, chosen/alternate above SMA200, 5% hysteresis, switch on 30% stop",monthly,2010-03-11 to 2026-05-20,2010-07-20 to 2026-05-20,69872.12,51.25,-87.39,0.93,67,53.73,23.3,48.0,32445.33,-90.46,35537.43,-81.66,41069.8,-66.18,28802.32,True,Always invested in SOXL or TQQQ; signal uses prior-close data; no costs/slippage.
7540,Relative momentum rotation,"42d return, skip 21d, switch on 30% stop",weekly,2010-03-11 to 2026-05-20,2010-06-11 to 2026-05-20,70647.97,50.93,-81.53,0.92,175,55.43,6.92,14.0,33908.38,-90.46,34470.73,-81.66,41854.25,-66.18,28793.72,True,Always invested in SOXL or TQQQ; signal uses prior-close data; no costs/slippage.
7541,Relative momentum rotation,"63d return, chosen/alternate above SMA100, 2% hysteresis, switch on 20% stop",weekly,2010-03-11 to 2026-05-20,2010-06-11 to 2026-05-20,70605.02,50.93,-87.76,0.93,134,56.72,11.77,14.0,33908.38,-90.46,34470.73,-81.66,41854.25,-66.18,28750.76,True,Always invested in SOXL or TQQQ; signal uses prior-close data; no costs/slippage.
7542,Relative momentum rotation,"10d return_minus_half_vol, skip 21d, chosen/alternate above SMA200, 5% hysteresis",monthly,2010-03-11 to 2026-05-20,2010-04-27 to 2026-05-20,77207.14,51.29,-82.52,0.97,39,69.23,32.08,59.0,23156.12,-90.46,25804.86,-81.66,48461.05,-66.18,28746.09,True,Always invested in SOXL or TQQQ; signal uses prior-close data; no costs/slippage.
7543,Relative momentum rotation,126d return_minus_vol,monthly,2010-03-11 to 2026-05-20,2010-09-10 to 2026-05-20,69815.89,51.81,-84.14,0.95,28,75.0,39.6,182.5,48324.75,-90.46,33054.58,-81.66,41069.8,-66.18,28746.09,True,Always invested in SOXL or TQQQ; signal uses prior-close data; no costs/slippage.
7544,Relative momentum rotation,"63d return_minus_vol, skip 5d, 2% hysteresis, switch on 20% stop",weekly,2010-03-11 to 2026-05-20,2010-06-18 to 2026-05-20,69815.58,50.89,-84.97,0.95,114,57.02,9.66,14.0,28494.28,-90.46,31064.39,-81.66,41069.8,-66.18,28745.78,True,Always invested in SOXL or TQQQ; signal uses prior-close data; no costs/slippage.
7545,Relative momentum rotation,"126d return_minus_vol, skip 10d, chosen/alternate above SMA200, 5% hysteresis, switch on 10% stop",weekly,2010-03-11 to 2026-05-20,2010-09-24 to 2026-05-20,69806.03,51.96,-78.94,0.95,158,51.27,7.99,7.0,37590.17,-90.46,27259.68,-81.66,41069.8,-66.18,28736.23,True,Always invested in SOXL or TQQQ; signal uses prior-close data; no costs/slippage.
7546,Relative momentum rotation,"105d return_minus_half_vol, skip 5d, 5% hysteresis, switch on 20% stop",weekly,2010-03-11 to 2026-05-20,2010-08-18 to 2026-05-20,69787.13,51.55,-83.58,0.94,96,57.29,14.8,20.5,41485.07,-90.46,35114.25,-81.66,41069.8,-66.18,28717.33,True,Always invested in SOXL or TQQQ; signal uses prior-close data; no costs/slippage.
7547,Relative momentum rotation,"84d return_over_vol, skip 10d, chosen/alternate above SMA100, 5% hysteresis, switch on 20% stop",monthly,2010-03-11 to 2026-05-20,2010-07-27 to 2026-05-20,69785.91,51.31,-87.16,0.93,95,54.74,14.44,24.0,30591.6,-90.46,32902.12,-81.66,41069.8,-66.18,28716.11,True,Always invested in SOXL or TQQQ; signal uses prior-close data; no costs/slippage.
7548,Relative momentum rotation,"84d return_minus_half_vol, skip 21d, chosen/alternate above SMA100",daily,2010-03-11 to 2026-05-20,2010-08-11 to 2026-05-20,69774.33,51.47,-85.85,0.94,210,59.05,5.52,4.0,41866.94,-90.46,35227.18,-81.66,41069.8,-66.18,28704.53,True,Always invested in SOXL or TQQQ; signal uses prior-close data; no costs/slippage.
7549,Relative momentum rotation,"10d return, chosen/alternate above SMA50",monthly,2010-03-11 to 2026-05-20,2010-03-26 to 2026-05-20,77160.1,50.94,-84.1,0.93,105,64.76,11.09,33.0,27606.54,-90.46,27913.35,-81.66,48461.05,-66.18,28699.05,True,Always invested in SOXL or TQQQ; signal uses prior-close data; no costs/slippage.
7550,Relative momentum rotation,"168d return_minus_vol, skip 21d, chosen/alternate above SMA100, switch on 20% stop",weekly,2010-03-11 to 2026-05-20,2010-12-09 to 2026-05-20,58136.12,51.02,-81.18,0.94,154,61.69,8.3,7.0,21980.67,-90.46,21265.73,-81.66,29455.96,-66.18,28680.16,True,Always invested in SOXL or TQQQ; signal uses prior-close data; no costs/slippage.
7551,Relative momentum rotation,"63d return, skip 21d, chosen/alternate above SMA100, switch on 30% stop",weekly,2010-03-11 to 2026-05-20,2010-07-13 to 2026-05-20,69699.06,51.15,-87.17,0.93,128,52.34,11.73,15.5,30967.21,-90.46,35142.37,-81.66,41069.8,-66.18,28629.26,True,Always invested in SOXL or TQQQ; signal uses prior-close data; no costs/slippage.
7552,Relative momentum rotation,"84d return_over_vol, skip 21d, chosen/alternate above SMA200, 2% hysteresis, switch on 20% stop",monthly,2010-03-11 to 2026-05-20,2010-08-11 to 2026-05-20,69674.52,51.46,-88.26,0.94,87,45.98,17.26,26.0,41866.94,-90.46,35227.18,-81.66,41069.8,-66.18,28604.72,True,Always invested in SOXL or TQQQ; signal uses prior-close data; no costs/slippage.
7553,Relative momentum rotation,"126d return_minus_half_vol, skip 5d, chosen/alternate above SMA100, 2% hysteresis, switch on 10% stop",weekly,2010-03-11 to 2026-05-20,2010-09-17 to 2026-05-20,69659.27,51.86,-82.67,0.95,170,50.0,9.18,7.0,41319.15,-90.46,29985.02,-81.66,41069.8,-66.18,28589.47,True,Always invested in SOXL or TQQQ; signal uses prior-close data; no costs/slippage.
7554,Relative momentum rotation,"84d return, skip 21d, 2% hysteresis",monthly,2010-03-11 to 2026-05-20,2010-08-11 to 2026-05-20,69656.66,51.46,-82.39,0.93,43,60.47,36.25,123.0,41866.94,-90.46,35227.18,-81.66,41069.8,-66.18,28586.86,True,Always invested in SOXL or TQQQ; signal uses prior-close data; no costs/slippage.
7555,Relative momentum rotation,"126d return, skip 10d, chosen/alternate above SMA200, switch on 20% stop",daily,2010-03-11 to 2026-05-20,2010-09-24 to 2026-05-20,69627.79,51.94,-84.16,0.94,188,59.57,7.71,5.0,37590.17,-90.46,27259.68,-81.66,41069.8,-66.18,28557.99,True,Always invested in SOXL or TQQQ; signal uses prior-close data; no costs/slippage.
7556,Relative momentum rotation,"84d return_minus_half_vol, skip 21d, chosen/alternate above SMA100, switch on 10% stop",monthly,2010-03-11 to 2026-05-20,2010-08-11 to 2026-05-20,69617.05,51.45,-81.02,0.94,148,44.59,9.64,5.0,41866.94,-90.46,35227.18,-81.66,41069.8,-66.18,28547.25,True,Always invested in SOXL or TQQQ; signal uses prior-close data; no costs/slippage.
7557,Relative momentum rotation,"126d return_minus_half_vol, skip 10d, chosen/alternate above SMA100, 2% hysteresis, switch on 10% stop",daily,2010-03-11 to 2026-05-20,2010-09-24 to 2026-05-20,69613.17,51.93,-82.52,0.95,262,51.53,5.83,5.0,37590.17,-90.46,27259.68,-81.66,41069.8,-66.18,28543.37,True,Always invested in SOXL or TQQQ; signal uses prior-close data; no costs/slippage.
7558,Relative momentum rotation,"42d return_over_vol, skip 5d, chosen/alternate above SMA50, 2% hysteresis, switch on 10% stop",daily,2010-03-11 to 2026-05-20,2010-05-19 to 2026-05-20,76994.05,51.5,-90.34,0.93,347,50.72,3.95,4.0,32343.68,-90.46,32425.19,-81.66,48461.05,-66.18,28533.0,True,Always invested in SOXL or TQQQ; signal uses prior-close data; no costs/slippage.
7559,Relative momentum rotation,"105d return, skip 5d, chosen/alternate above SMA200, switch on 10% stop",weekly,2010-03-11 to 2026-05-20,2010-08-18 to 2026-05-20,69598.3,51.52,-86.72,0.94,196,50.51,7.86,7.0,41485.07,-90.46,35114.25,-81.66,41069.8,-66.18,28528.5,True,Always invested in SOXL or TQQQ; signal uses prior-close data; no costs/slippage.
7560,Relative momentum rotation,"126d return_minus_vol, skip 10d, chosen/alternate above SMA100, 5% hysteresis, switch on 10% stop",monthly,2010-03-11 to 2026-05-20,2010-09-24 to 2026-05-20,69597.8,51.93,-78.41,0.95,184,47.83,8.02,4.5,37590.17,-90.46,27259.68,-81.66,41069.8,-66.18,28528.0,True,Always invested in SOXL or TQQQ; signal uses prior-close data; no costs/slippage.
7561,Relative momentum rotation,"105d return_minus_half_vol, skip 21d, chosen/alternate above SMA100, 5% hysteresis, switch on 10% stop",monthly,2010-03-11 to 2026-05-20,2010-09-10 to 2026-05-20,69583.77,51.77,-81.02,0.94,158,46.2,10.65,4.0,48324.75,-90.46,33054.58,-81.66,41069.8,-66.18,28513.97,True,Always invested in SOXL or TQQQ; signal uses prior-close data; no costs/slippage.
7562,Relative momentum rotation,"42d return, switch on 30% stop",monthly,2010-03-11 to 2026-05-20,2010-05-12 to 2026-05-20,76974.36,51.42,-89.35,0.93,87,58.62,15.02,59.0,26300.29,-90.46,27559.06,-81.66,48461.05,-66.18,28513.3,True,Always invested in SOXL or TQQQ; signal uses prior-close data; no costs/slippage.
7563,Relative momentum rotation,"5d return_minus_vol, skip 10d, chosen/alternate above SMA100, switch on 10% stop",monthly,2010-03-11 to 2026-05-20,2010-04-09 to 2026-05-20,76962.14,51.07,-79.44,0.97,91,45.05,15.37,6.0,24989.86,-90.46,26272.32,-81.66,48461.05,-66.18,28501.09,True,Always invested in SOXL or TQQQ; signal uses prior-close data; no costs/slippage.
7564,Relative momentum rotation,"126d return_minus_vol, skip 10d, chosen/alternate above SMA200, 5% hysteresis, switch on 10% stop",monthly,2010-03-11 to 2026-05-20,2010-09-24 to 2026-05-20,69568.49,51.93,-77.5,0.95,160,47.5,8.85,4.0,37590.17,-90.46,27259.68,-81.66,41069.8,-66.18,28498.69,True,Always invested in SOXL or TQQQ; signal uses prior-close data; no costs/slippage.
7565,Relative momentum rotation,"63d return, skip 21d, chosen/alternate above SMA200, 2% hysteresis, switch on 30% stop",weekly,2010-03-11 to 2026-05-20,2010-07-13 to 2026-05-20,69566.68,51.13,-89.26,0.93,118,55.93,12.82,20.0,30967.21,-90.46,35142.37,-81.66,41069.8,-66.18,28496.88,True,Always invested in SOXL or TQQQ; signal uses prior-close data; no costs/slippage.
7566,Relative momentum rotation,"21d return_minus_half_vol, skip 10d, 5% hysteresis, switch on 20% stop",monthly,2010-03-11 to 2026-05-20,2010-04-27 to 2026-05-20,76954.52,51.26,-82.67,0.96,92,51.09,14.07,29.5,23156.12,-90.46,25804.86,-81.66,48461.05,-66.18,28493.47,True,Always invested in SOXL or TQQQ; signal uses prior-close data; no costs/slippage.
7567,Relative momentum rotation,"84d return_minus_vol, skip 21d, chosen/alternate above SMA100, switch on 20% stop",daily,2010-03-11 to 2026-05-20,2010-08-11 to 2026-05-20,69556.93,51.44,-85.7,0.95,254,54.33,4.9,5.0,41866.94,-90.46,35227.18,-81.66,41069.8,-66.18,28487.13,True,Always invested in SOXL or TQQQ; signal uses prior-close data; no costs/slippage.
7568,Relative momentum rotation,"126d return_over_vol, skip 10d, chosen/alternate above SMA200, 2% hysteresis",daily,2010-03-11 to 2026-05-20,2010-09-24 to 2026-05-20,69540.18,51.92,-91.27,0.94,104,62.5,10.35,8.5,37590.17,-90.46,27259.68,-81.66,41069.8,-66.18,28470.38,True,Always invested in SOXL or TQQQ; signal uses prior-close data; no costs/slippage.
7569,Relative momentum rotation,"126d return_minus_vol, chosen/alternate above SMA100, 2% hysteresis, switch on 20% stop",weekly,2010-03-11 to 2026-05-20,2010-09-10 to 2026-05-20,69536.63,51.77,-81.09,0.95,112,52.68,11.88,14.0,48324.75,-90.46,33054.58,-81.66,41069.8,-66.18,28466.83,True,Always invested in SOXL or TQQQ; signal uses prior-close data; no costs/slippage.
7570,Relative momentum rotation,"10d return_minus_half_vol, chosen/alternate above SMA200, 2% hysteresis, switch on 30% stop",monthly,2010-03-11 to 2026-05-20,2010-03-26 to 2026-05-20,76923.62,50.91,-77.83,0.96,73,61.64,17.17,32.0,27606.54,-90.46,27913.35,-81.66,48461.05,-66.18,28462.57,True,Always invested in SOXL or TQQQ; signal uses prior-close data; no costs/slippage.
7571,Relative momentum rotation,"105d return_over_vol, chosen/alternate above SMA50, 2% hysteresis",monthly,2010-03-11 to 2026-05-20,2010-08-11 to 2026-05-20,69519.75,51.44,-88.2,0.94,34,70.59,32.76,143.0,41866.94,-90.46,35227.18,-81.66,41069.8,-66.18,28449.95,True,Always invested in SOXL or TQQQ; signal uses prior-close data; no costs/slippage.
7572,Relative momentum rotation,"63d return_minus_half_vol, skip 5d, chosen/alternate above SMA50, 2% hysteresis",daily,2010-03-11 to 2026-05-20,2010-06-18 to 2026-05-20,69516.83,50.85,-82.78,0.94,196,58.67,4.76,7.0,28494.28,-90.46,31064.39,-81.66,41069.8,-66.18,28447.03,True,Always invested in SOXL or TQQQ; signal uses prior-close data; no costs/slippage.
7573,Relative momentum rotation,"84d return, skip 10d, chosen/alternate above SMA200, switch on 20% stop",monthly,2010-03-11 to 2026-05-20,2010-07-27 to 2026-05-20,69514.05,51.27,-85.62,0.93,81,49.38,19.82,31.0,30591.6,-90.46,32902.12,-81.66,41069.8,-66.18,28444.25,True,Always invested in SOXL or TQQQ; signal uses prior-close data; no costs/slippage.
7574,Relative momentum rotation,"84d return_over_vol, skip 21d, 5% hysteresis, switch on 30% stop",weekly,2010-03-11 to 2026-05-20,2010-08-11 to 2026-05-20,69510.96,51.44,-90.46,0.94,91,62.64,13.6,21.0,41866.94,-90.46,35227.18,-81.66,41069.8,-66.18,28441.16,True,Always invested in SOXL or TQQQ; signal uses prior-close data; no costs/slippage.
7575,Relative momentum rotation,"84d return, chosen/alternate above SMA100",weekly,2010-03-11 to 2026-05-20,2010-07-13 to 2026-05-20,69505.9,51.12,-85.65,0.93,89,62.92,15.65,21.0,30967.21,-90.46,35142.37,-81.66,41069.8,-66.18,28436.1,True,Always invested in SOXL or TQQQ; signal uses prior-close data; no costs/slippage.
7576,Relative momentum rotation,"126d return_minus_vol, chosen/alternate above SMA200, 2% hysteresis, switch on 10% stop",weekly,2010-03-11 to 2026-05-20,2010-09-10 to 2026-05-20,69498.77,51.76,-79.05,0.95,168,49.4,8.13,7.0,48324.75,-90.46,33054.58,-81.66,41069.8,-66.18,28428.97,True,Always invested in SOXL or TQQQ; signal uses prior-close data; no costs/slippage.
7577,Relative momentum rotation,"42d return_minus_half_vol, chosen/alternate above SMA50, 5% hysteresis",monthly,2010-03-11 to 2026-05-20,2010-05-12 to 2026-05-20,76885.96,51.41,-84.42,0.95,54,74.07,16.92,62.0,26300.29,-90.46,27559.06,-81.66,48461.05,-66.18,28424.9,True,Always invested in SOXL or TQQQ; signal uses prior-close data; no costs/slippage.
7578,Relative momentum rotation,"42d return_over_vol, skip 10d, 5% hysteresis, switch on 20% stop",daily,2010-03-11 to 2026-05-20,2010-05-26 to 2026-05-20,76870.56,51.56,-87.63,0.93,163,58.9,8.19,16.0,34537.35,-90.46,36910.51,-81.66,48461.05,-66.18,28409.5,True,Always invested in SOXL or TQQQ; signal uses prior-close data; no costs/slippage.
7579,Relative momentum rotation,"126d return_minus_half_vol, skip 5d, 5% hysteresis, switch on 30% stop",daily,2010-03-11 to 2026-05-20,2010-09-17 to 2026-05-20,69478.73,51.84,-85.5,0.95,78,56.41,18.81,19.5,41319.15,-90.46,29985.02,-81.66,41069.8,-66.18,28408.93,True,Always invested in SOXL or TQQQ; signal uses prior-close data; no costs/slippage.
7580,Relative momentum rotation,"105d return_minus_half_vol, skip 21d, chosen/alternate above SMA100, 2% hysteresis, switch on 10% stop",daily,2010-03-11 to 2026-05-20,2010-09-10 to 2026-05-20,69473.7,51.76,-83.46,0.94,284,52.11,4.79,4.0,48324.75,-90.46,33054.58,-81.66,41069.8,-66.18,28403.91,True,Always invested in SOXL or TQQQ; signal uses prior-close data; no costs/slippage.
7581,Relative momentum rotation,"168d return_minus_half_vol, skip 21d, chosen/alternate above SMA100, 2% hysteresis",weekly,2010-03-11 to 2026-05-20,2010-12-09 to 2026-05-20,57855.14,50.98,-79.15,0.94,100,67.0,10.46,15.0,21980.67,-90.46,21265.73,-81.66,29455.96,-66.18,28399.18,True,Always invested in SOXL or TQQQ; signal uses prior-close data; no costs/slippage.
7582,Relative momentum rotation,"63d return_minus_vol, chosen/alternate above SMA200, 2% hysteresis, switch on 10% stop",weekly,2010-03-11 to 2026-05-20,2010-06-11 to 2026-05-20,70242.62,50.88,-79.12,0.96,148,54.05,7.47,13.0,33908.38,-90.46,34470.73,-81.66,41854.25,-66.18,28388.37,True,Always invested in SOXL or TQQQ; signal uses prior-close data; no costs/slippage.
